Date,Close
6/5/2014,185.98
6/6/2014,186.37
6/9/2014,186.22
6/10/2014,184.29
6/11/2014,182.25
6/12/2014,181.22
6/13/2014,182.56
6/16/2014,182.35
6/17/2014,182.26
6/18/2014,183.6
6/19/2014,182.82
6/20/2014,181.55
6/23/2014,182.14
6/24/2014,180.88
6/25/2014,180.72
6/26/2014,180.37
6/27/2014,181.71
6/30/2014,181.27
7/1/2014,186.35
7/2/2014,188.39
7/3/2014,188.53
7/7/2014,188.04
7/8/2014,187.22
7/9/2014,188.42
7/10/2014,187.7
7/11/2014,188
7/14/2014,189.86
7/15/2014,188.49
7/16/2014,192.36
7/17/2014,192.49
7/18/2014,192.5
7/21/2014,190.85
7/22/2014,194.09
7/23/2014,193.63
7/24/2014,195.24
7/25/2014,194.4
7/28/2014,195.78
7/29/2014,194.57
7/30/2014,194
7/31/2014,191.67
8/1/2014,189.15
8/4/2014,189.64
8/5/2014,187.1
8/6/2014,185.97
8/7/2014,184.3
8/8/2014,186.63
8/11/2014,187.47
8/12/2014,187.34
8/13/2014,187.95
8/14/2014,187.88
8/15/2014,187.38
8/18/2014,189.36
8/19/2014,190.07
8/20/2014,190.1
8/21/2014,191.23
8/22/2014,190.41
8/25/2014,191.16
8/26/2014,192.99
8/27/2014,192.25
8/28/2014,192
8/29/2014,192.3
9/2/2014,191.56
9/3/2014,191.95
9/4/2014,190.68
9/5/2014,191.2
9/8/2014,190.14
9/9/2014,189.99
9/10/2014,191.54
9/11/2014,191.72
9/12/2014,191.28
9/15/2014,191.81
9/16/2014,192.96
9/17/2014,192.8
9/18/2014,193.75
9/19/2014,194
9/22/2014,193.11
9/23/2014,191.62
9/24/2014,192.31
9/25/2014,189.01
9/26/2014,190.06
9/29/2014,189.64
9/30/2014,189.83
10/1/2014,187.17
10/2/2014,186.91
10/3/2014,188.67
10/6/2014,189.04
10/7/2014,185.71
10/8/2014,189.36
10/9/2014,186.42
10/10/2014,185.93
10/13/2014,183.52
10/14/2014,183.8
10/15/2014,181.75
10/16/2014,179.84
10/17/2014,182.05
10/20/2014,169.1
10/21/2014,163.23
10/22/2014,161.79
10/23/2014,162.18
10/24/2014,162.08
10/27/2014,161.87
10/28/2014,163.6
10/29/2014,163.46
10/30/2014,164.35
10/31/2014,164.4
11/3/2014,164.36
11/4/2014,162.65
11/5/2014,161.82
11/6/2014,161.46
11/7/2014,162.07
11/10/2014,163.49
11/11/2014,163.3
11/12/2014,161.92
11/13/2014,162.79
11/14/2014,164.16
11/17/2014,164.16
11/18/2014,161.89
11/19/2014,161.43
11/20/2014,160.64
11/21/2014,160.92
11/24/2014,162.15
11/25/2014,161.76
11/26/2014,161.95
11/28/2014,162.17
12/1/2014,161.54
12/2/2014,162.67
12/3/2014,164.52
12/4/2014,164.05
12/5/2014,163.27
12/8/2014,161.86
12/9/2014,162.99
12/10/2014,160.51
12/11/2014,161.07
12/12/2014,155.38
12/15/2014,153.06
12/16/2014,151.41
12/17/2014,151.93
12/18/2014,157.68
12/19/2014,158.51
12/22/2014,161.44
12/23/2014,162.24
12/24/2014,161.82
12/26/2014,162.34
12/29/2014,160.51
12/30/2014,160.05
12/31/2014,160.44
1/2/2015,162.06
1/5/2015,159.51
1/6/2015,156.07
1/7/2015,155.05
1/8/2015,158.42
1/9/2015,159.11
1/12/2015,156.44
1/13/2015,156.81
1/14/2015,155.8
1/15/2015,154.57
1/16/2015,157.14
1/20/2015,156.95
1/21/2015,152.09
1/22/2015,155.39
1/23/2015,155.87
1/26/2015,156.36
1/27/2015,153.67
1/28/2015,151.55
1/29/2015,155.48
1/30/2015,153.31
2/2/2015,154.66
2/3/2015,158.47
2/4/2015,156.96
2/5/2015,157.91
2/6/2015,156.72
2/9/2015,155.75
2/10/2015,158.56
2/11/2015,158.2
2/12/2015,158.52
2/13/2015,160.4
2/17/2015,160.96
2/18/2015,162.19
2/19/2015,163.89
2/20/2015,163.65
2/23/2015,162.91
2/24/2015,164.83
2/25/2015,162.81
2/26/2015,160.87
2/27/2015,161.94
3/2/2015,160.48
3/3/2015,161.03
3/4/2015,159.42
3/5/2015,161.18
3/6/2015,158.5
3/9/2015,160.77
3/10/2015,157.81
3/11/2015,156.8
3/12/2015,157.98
3/13/2015,154.28
3/16/2015,157.08
3/17/2015,156.96
3/18/2015,159.81
3/19/2015,159.81
3/20/2015,162.88
3/23/2015,164.63
3/24/2015,163
3/25/2015,159.2
3/26/2015,160.59
3/27/2015,160.4
3/30/2015,162.67
3/31/2015,160.5
4/1/2015,159.18
4/2/2015,160.45
4/6/2015,162.04
4/7/2015,162.07
4/8/2015,161.85
4/9/2015,162.34
4/10/2015,162.86
4/13/2015,162.38
4/14/2015,162.3
4/15/2015,164.13
4/16/2015,163.13
4/17/2015,160.67
4/20/2015,166.16
4/21/2015,164.26
4/22/2015,165.36
4/23/2015,170.24
4/24/2015,169.78
4/27/2015,170.73
4/28/2015,173.92
4/29/2015,174.4
4/30/2015,171.29
5/1/2015,173.67
5/4/2015,173.97
5/5/2015,173.08
5/6/2015,170.05
5/7/2015,170.99
5/8/2015,172.68
5/11/2015,171.12
5/12/2015,170.55
5/13/2015,172.28
5/14/2015,174.05
5/15/2015,173.26
5/18/2015,173.06
5/19/2015,173.48
5/20/2015,173.76
5/21/2015,173.34
5/22/2015,172.22
5/26/2015,170.13
5/27/2015,172
5/28/2015,171.71
5/29/2015,169.65
6/1/2015,170.18
6/2/2015,169.65
6/3/2015,169.92
6/4/2015,168.38
6/5/2015,167.4
6/8/2015,165.34
6/9/2015,165.68
6/10/2015,168.92
6/11/2015,168.78
6/12/2015,166.99
6/15/2015,166.26
6/16/2015,166.84
6/17/2015,167.17
6/18/2015,168.25
6/19/2015,166.99
6/22/2015,167.73
6/23/2015,168.62
6/24/2015,166.97
6/25/2015,166.08
6/26/2015,165.46
6/29/2015,162.97
6/30/2015,162.66
7/1/2015,164.49
7/2/2015,165.09
7/6/2015,164.73
7/7/2015,165
7/8/2015,163.16
7/9/2015,163.85
7/10/2015,166.95
7/13/2015,169.38
7/14/2015,168.61
7/15/2015,168.53
7/16/2015,171
7/17/2015,172.51
7/20/2015,173.22
7/21/2015,163.07
7/22/2015,160.35
7/23/2015,161.73
7/24/2015,159.75
7/27/2015,159.07
7/28/2015,160.05
7/29/2015,161.09
7/30/2015,160.96
7/31/2015,161.99
8/3/2015,158.71
8/4/2015,157.6
8/5/2015,157.9
8/6/2015,156.32
8/7/2015,155.12
8/10/2015,156.75
8/11/2015,155.51
8/12/2015,156.16
8/13/2015,155.07
8/14/2015,155.75
8/17/2015,156.31
8/18/2015,156.01
8/19/2015,153.94
8/20/2015,152.66
8/21/2015,148.85
8/24/2015,143.47
8/25/2015,140.96
8/26/2015,146.7
8/27/2015,148.54
8/28/2015,147.98
8/31/2015,147.89
9/1/2015,142.68
9/2/2015,145.05
9/3/2015,146.78
9/4/2015,143.7
9/8/2015,147.23
9/9/2015,145.05
9/10/2015,146.2
9/11/2015,147.37
9/14/2015,145.65
9/15/2015,147.53
9/16/2015,148.41
9/17/2015,148.14
9/18/2015,144.51
9/21/2015,146.48
9/22/2015,144.43
9/23/2015,143.66
9/24/2015,144.41
9/25/2015,145.42
9/28/2015,142.52
9/29/2015,142.47
9/30/2015,144.97
10/1/2015,143.59
10/2/2015,144.58
10/5/2015,149.04
10/6/2015,148.78
10/7/2015,150.09
10/8/2015,152.28
10/9/2015,152.39
10/12/2015,151.14
10/13/2015,149.62
10/14/2015,150.01
10/15/2015,150.09
10/16/2015,150.39
10/19/2015,149.22
10/20/2015,140.64
10/21/2015,140.92
10/22/2015,144.09
10/23/2015,144.68
10/26/2015,143.66
10/27/2015,137.86
10/28/2015,140.83
10/29/2015,140.55
10/30/2015,140.08
11/2/2015,140.37
11/3/2015,141.88
11/4/2015,141.63
11/5/2015,139.89
11/6/2015,138.25
11/9/2015,135.31
11/10/2015,135.47
