Date,Close
6/5/2014,92.48
6/6/2014,92.22
6/9/2014,93.7
6/10/2014,94.25
6/11/2014,93.86
6/12/2014,92.29
6/13/2014,91.28
6/16/2014,92.2
6/17/2014,92.08
6/18/2014,92.18
6/19/2014,91.86
6/20/2014,90.91
6/23/2014,90.83
6/24/2014,90.28
6/25/2014,90.36
6/26/2014,90.9
6/27/2014,91.98
6/30/2014,92.93
7/1/2014,93.52
7/2/2014,93.48
7/3/2014,94.03
7/7/2014,95.97
7/8/2014,95.35
7/9/2014,95.39
7/10/2014,95.04
7/11/2014,95.22
7/14/2014,96.45
7/15/2014,95.32
7/16/2014,94.78
7/17/2014,93.09
7/18/2014,94.43
7/21/2014,93.94
7/22/2014,94.72
7/23/2014,97.19
7/24/2014,97.03
7/25/2014,97.67
7/28/2014,99.02
7/29/2014,98.38
7/30/2014,98.15
7/31/2014,95.6
8/1/2014,96.13
8/4/2014,95.59
8/5/2014,95.12
8/6/2014,94.96
8/7/2014,94.48
8/8/2014,94.74
8/11/2014,95.99
8/12/2014,95.97
8/13/2014,97.24
8/14/2014,97.5
8/15/2014,97.98
8/18/2014,99.16
8/19/2014,100.53
8/20/2014,100.57
8/21/2014,100.58
8/22/2014,101.32
8/25/2014,101.54
8/26/2014,100.89
8/27/2014,102.13
8/28/2014,102.25
8/29/2014,102.5
9/2/2014,103.3
9/3/2014,98.94
9/4/2014,98.12
9/5/2014,98.97
9/8/2014,98.36
9/9/2014,97.99
9/10/2014,101
9/11/2014,101.43
9/12/2014,101.66
9/15/2014,101.63
9/16/2014,100.86
9/17/2014,101.58
9/18/2014,101.79
9/19/2014,100.96
9/22/2014,101.06
9/23/2014,102.64
9/24/2014,101.75
9/25/2014,97.87
9/26/2014,100.75
9/29/2014,100.11
9/30/2014,100.75
10/1/2014,99.18
10/2/2014,99.9
10/3/2014,99.62
10/6/2014,99.62
10/7/2014,98.75
10/8/2014,100.8
10/9/2014,101.02
10/10/2014,100.73
10/13/2014,99.81
10/14/2014,98.75
10/15/2014,97.54
10/16/2014,96.26
10/17/2014,97.67
10/20/2014,99.76
10/21/2014,102.47
10/22/2014,102.99
10/23/2014,104.83
10/24/2014,105.22
10/27/2014,105.11
10/28/2014,106.74
10/29/2014,107.34
10/30/2014,106.98
10/31/2014,108
11/3/2014,109.4
11/4/2014,108.6
11/5/2014,108.86
11/6/2014,108.7
11/7/2014,109.01
11/10/2014,108.83
11/11/2014,109.7
11/12/2014,111.25
11/13/2014,112.82
11/14/2014,114.18
11/17/2014,113.99
